"gene_name" "rank"
"CC2D2A" "CC2D2A" 3.05545436575742
"PPP2R3C" "PPP2R3C" -3.05318703635314
"HDDC3" "HDDC3" 3.05155923145904
"DIS3" "DIS3" -3.05053782856603
"F12" "F12" 3.04635102766162
"AC110048.2" "AC110048.2" 3.04595990438303
"SNX14" "SNX14" -3.04240271713494
"FDX2" "FDX2" 3.04009433925047
"ADGRL1" "ADGRL1" 3.03923414759034
"CLEC7A" "CLEC7A" -3.03810120015176
"ZNF76" "ZNF76" 3.03550330328978
"DDX39A" "DDX39A" 3.03514307466449
"MT-CO1" "MT-CO1" -3.03077517073618
"PTPN23" "PTPN23" 3.03037253332092
"WLS" "WLS" 3.02957641284856
"CENPU" "CENPU" -3.0293489418801
"ZWILCH" "ZWILCH" -3.02827659152918
"CDC34" "CDC34" 3.02485190454695
"UBAP1L" "UBAP1L" 3.02355646807221
"HNRNPL" "HNRNPL" -3.02198684485571
"EIPR1" "EIPR1" 3.0192908219764
"ALOX15B" "ALOX15B" -3.0164419692944
"CASP3" "CASP3" -3.0157717269479
"RPS10" "RPS10" 3.01325390878702
"AC018557.1" "AC018557.1" -3.00974649807984
"SRP54" "SRP54" -3.00916410927387
"RAP1A" "RAP1A" -3.00429330182561
"AL138478.1" "AL138478.1" -3.00200014801499
"AL139423.2" "AL139423.2" 3.00070627998522
"MIGA2" "MIGA2" 2.9995204835932
"KLHL18" "KLHL18" 2.99851641060828
"LRP5L" "LRP5L" 2.99811354372428
"RBIS" "RBIS" -2.99796614066077
"TMEM38B" "TMEM38B" 2.99754863756365
"LCP1" "LCP1" -2.99286871866504
"PLCB3" "PLCB3" 2.99237218162567
"GOLGA6L9" "GOLGA6L9" 2.99074799152226
"KIFAP3" "KIFAP3" -2.98929764637053
"MED17" "MED17" -2.9874523933573
"AL022724.3" "AL022724.3" 2.98523541405261
"CCT6P3" "CCT6P3" -2.98384717982644
"DNAL4" "DNAL4" 2.97506822652809
"B3GAT3" "B3GAT3" 2.97223610137841
"URM1" "URM1" 2.9718247433259
"SEC63" "SEC63" -2.97050094465488
"R3HCC1L" "R3HCC1L" -2.96618196490865
"GOLGA5" "GOLGA5" -2.96412465710177
"HACL1" "HACL1" -2.96133777835322
"DENND4A" "DENND4A" -2.95698362882756
"KYAT1" "KYAT1" 2.95598343748387
"SDAD1" "SDAD1" -2.95554175198558
"AGRP" "AGRP" 2.94837477388394
"ACACB" "ACACB" 2.94779311076962
"AC131212.3" "AC131212.3" 2.94524759064901
"ANXA7" "ANXA7" 2.94445754702651
"PALLD" "PALLD" -2.94272962033295
"NEK1" "NEK1" -2.94150560238963
"TGDS" "TGDS" -2.93992303473618
"MDH2" "MDH2" 2.93507065996874
"BMERB1" "BMERB1" -2.93500712869899
"USP16" "USP16" -2.93477900793323
"HNRNPU" "HNRNPU" -2.93191877277094
"PET117" "PET117" -2.93122855415904
"ZNF564" "ZNF564" -2.93008671717744
"AL117335.1" "AL117335.1" 2.92990329632902
"PSMD12" "PSMD12" -2.92738049561173
"CLIP2" "CLIP2" 2.92639755173561
"CCDC43" "CCDC43" -2.92580302090081
"ARHGEF35" "ARHGEF35" 2.92511607693721
"EVI2B" "EVI2B" -2.92398269421913
"DYNC2I2" "DYNC2I2" 2.92112506491663
"SLC30A9" "SLC30A9" -2.92025592502409
"PCGF5" "PCGF5" -2.91944027209906
"SNX2" "SNX2" -2.91939246446329
"MARCKSL1" "MARCKSL1" -2.91419868348607
"TMUB2" "TMUB2" 2.91337708871239
"ZC3H7A" "ZC3H7A" -2.91335824674065
"UBN1" "UBN1" 2.91323508404717
"RPS4Y1" "RPS4Y1" 2.91164194595351
"BRD4" "BRD4" 2.9108876089166
"C18orf32" "C18orf32" -2.90838593012719
"CHP1" "CHP1" 2.90533135819034
"RSL24D1" "RSL24D1" -2.904855260752
"CASP8" "CASP8" -2.9047601732389
"MXRA7" "MXRA7" 2.90118296944009
"CHD8" "CHD8" -2.90108686467041
"PDCD10" "PDCD10" -2.90101231279754
"GIGYF1" "GIGYF1" 2.90030497623158
"FLCN" "FLCN" 2.89745436955547
"RAD51D" "RAD51D" 2.89707847439288
"EPHA2" "EPHA2" 2.89229015820046
"HLA-DOA" "HLA-DOA" -2.88697192639017
"CEP57L1" "CEP57L1" -2.88666965069913
"PDIK1L" "PDIK1L" -2.88630436263576
"AC005332.5" "AC005332.5" 2.88535626645592
"HTATSF1" "HTATSF1" -2.88389669848463
"ZNF101" "ZNF101" -2.88114420268791
"AC009974.2" "AC009974.2" 2.87958056431609
"TFEC" "TFEC" -2.87905766977405
"KDM4B" "KDM4B" 2.87898116122054
"DVL3" "DVL3" 2.87831698786793
"BDH1" "BDH1" 2.87802928601752
"TRUB2" "TRUB2" 2.87611496554484
"FCSK" "FCSK" 2.87482412243672
"NUDT12" "NUDT12" -2.87302633458813
"R3HDM2" "R3HDM2" 2.87299209794892
"TMEM161A" "TMEM161A" 2.8727618168566
"PGP" "PGP" 2.86811630066163
"UBD" "UBD" -2.86779516652711
"BX890604.2" "BX890604.2" -2.86566725975117
"AC025257.1" "AC025257.1" 2.86537153901162
"CCR7" "CCR7" -2.86314297462333
"PDK4" "PDK4" -2.86264973496879
"ISCA1" "ISCA1" -2.86060615961182
"PRPF4B" "PRPF4B" -2.86056932019151
"CLTC" "CLTC" -2.86009170139388
"AC004943.2" "AC004943.2" 2.85787935462098
"BTK" "BTK" -2.85622241583498
"AASDHPPT" "AASDHPPT" -2.85532580113817
"DGAT1" "DGAT1" 2.85495629666733
"CRTC3" "CRTC3" 2.85456444152669
"ZFX" "ZFX" -2.85437360971818
"NEU1" "NEU1" 2.85180887922169
"PTPRO" "PTPRO" -2.84951416230099
"PPWD1" "PPWD1" -2.8480247436533
"CIP2A" "CIP2A" -2.84719565324417
